inst_a inst_b best mapping geometric deepwalk node2vec struc2vec dummy heuristic_dbl_mst heuristic_far_ins heuristic_near_ins heuristic_near_neigh 
city_5_ali535_l city_5_ali535_l_t4_#0 280.481956110225 398.30336122135355 383.39937397529474 525.8096419048069 473.92570881369005 578.8963679326174 590.9035858046022 364.61510083520153 286.6656152910872 287.3489118108083 372.1278296728491 
city_5_ali535_l city_5_ali535_l_r5_#0 260.7331306310093 432.3265706050531 432.3265706050531 478.0447788423183 501.6034071064384 593.6849794673427 562.3153544534208 287.21003591480024 273.58340393455984 275.32808757825495 335.71128328484826 
city_5_ali535_l city_5_ali535_l_t5_#0 265.06433278499685 429.3573448287364 425.69566163550206 558.2728377694744 475.4050322490168 462.93685519068504 520.9816077222786 291.6693410931537 278.6191738460086 279.74283256681963 382.99698757783233 
city_5_ali535_l city_5_ali535_l_r6_#0 263.19176868727516 549.1510657812388 472.6959173705742 483.32272904699227 397.26863938825653 407.19236213431066 455.59547565474986 298.0278996097681 272.112918202464 201.38492082646187 284.12707259843967 
city_5_ali535_l city_5_ali535_l_t6_#0 264.5358575016473 433.98101282119137 369.08167802325016 404.51760812147774 521.9232162949296 532.9265519741801 525.3098555647314 302.4543377557469 274.14813195081746 270.3867999414508 350.7506603874872 
city_5_ali535_l city_5_ali535_l_r7_#0 253.1921626286559 432.8853327131583 373.83456721747945 403.2781093718941 355.2032114961883 357.0049730087312 388.76280258958127 277.37857312459937 255.76125519430133 257.08888498472436 273.510559708248 
city_5_ali535_l city_5_ali535_l_t7_#0 254.8949422927459 318.7898275046734 377.0430392429 343.65116326574724 322.4406410854065 415.3020455682818 349.79625965241866 279.1852223931955 256.61633317979204 275.03787677298254 258.3897042569121 
city_5_ali535_l city_5_ali535_l_r8_#0 246.3692511801036 370.7089458224521 314.8883840066337 368.3741861990733 298.74695200843775 387.9676979622612 393.2372211192787 265.8696958588776 251.60686290095117 252.35149379599045 276.9787825172681 
city_5_ali535_l city_5_ali535_l_t8_#0 245.3656312751165 357.052029629007 350.2962373731052 318.01781158314054 411.3836738114248 351.691450780524 399.52617901812744 275.16273950184257 246.7157820034702 262.7810326966994 295.1245685606231 
city_5_ali535_l city_5_ali535_l_r9_#0 228.13252270233846 343.51029201203164 263.4952489925423 283.525385811521 267.7839016003897 288.2597687155205 270.15181868397934 247.08363993577012 202.73557919517782 230.81945210652344 248.4395017361594 
city_5_ali535_l city_5_ali535_l_t9_#0 228.5567014418197 264.9076129742521 255.44028230922194 314.4275016344466 267.33640364050626 259.7039594386809 280.73639555168336 261.3755684800316 230.93669192344296 234.9660218809203 247.52986170347918 
gaussian_13 gaussian_13 5.85685631903122 5.85685631903122 5.85685631903122 7.417847615824573 5.85685631903122 10.760688838754774 10.607269333756845 7.078611170717223 6.171487447300965 6.354992423000166 6.490181044585806 
gaussian_13 gaussian_13_r1_#0 6.159273951636254 6.8225866580659735 6.8225866580659735 7.4824462242132626 6.8225866580659735 11.422084959247238 9.751787083542009 7.195445370988636 6.726711087225375 6.835155946178261 8.35420635516919 
